地区,センター,もえるごみ,びん・かん,不有資,ペットボトル
東町,三郷センター,月 木,水1 水3,水2 水4,土2 土4
泉,三郷センター,水 土,火1 火3,火2 火4,火2 火4
市助（新和１丁目町会）,三郷センター,水 土,月1 月3,月2 月4,月2 月4
市助（新和１丁目町会を除く）,三郷センター,水 土,木1 木3,木2 木4,月2 月4
岩野木,三郷センター,水 土,金1 金3,金2 金4,木2 木4
後谷（大場川の東側）,三郷センター,火 金,木1 木3,木2 木4,土1 土3
後谷（大場川の西側）,三郷センター,水 土,金1 金3,金2 金4,木1 木3
采女１丁目,三郷センター,火 金,月1 月3,月2 月4,木1 木3
大広戸（常磐道の東側）,三郷センター,水 土,火1 火3,火2 火4,火2 火4
大広戸（常磐道の西側）,三郷センター,月 木,水1 水3,水2 水4,金1 金3
鎌倉,三郷センター,火 金,木1 木3,木2 木4,月1 月3
上口１～３丁目,三郷センター,水 土,金1 金3,金2 金4,火2 火4
上彦川戸（県道草加・流山線の北側）,三郷センター,月 木,水1 水3,水2 水4,金1 金3
上彦川戸（県道草加・流山線の南側）,三郷センター,水 土,火1 火3,火2 火4,火2 火4
上彦名（みさと団地やなぎ通りの東側）,三郷センター,月 木,水1 水3,水2 水4,金1 金3
上彦名（県道草加・流山線の北側）,三郷センター,月 木,火1 火3,火2 火4,金1 金3
上彦名ニュータウン,三郷センター,月 木,火1 火3,火2 火4,金1 金3
上彦名（県道草加・流山線の南側）,三郷センター,水 土,火1 火3,火2 火4,火2 火4
幸房,三郷センター,水 土,金1 金3,金2 金4,木2 木4
駒形,三郷センター,水 土,火1 火3,火2 火4,火2 火4
小谷堀（大場川の東側）,三郷センター,火 金,木1 木3,木2 木4,土1 土3
小谷堀（大場川の西側）,三郷センター,水 土,金1 金3,金2 金4,木1 木3
栄１～５丁目,三郷センター,月 木,金1 金3,金2 金4,水2 水4
笹塚,三郷センター,水 土,火1 火3,火2 火4,火2 火4
さつき平１・２丁目,三郷センター,月 木,水1 水3,水2 水4,金1 金3
下彦川戸（県道草加・流山線の北側）,三郷センター,月 木,水1 水3,水2 水4,金1 金3
下彦川戸（県道草加・流山線の南側）,三郷センター,水 土,火1 火3,火2 火4,火2 火4
新三郷ららシティ１丁目,三郷センター,月 木,水1 水3,水2 水4,金1 金3
新和１・２丁目,三郷センター,水 土,月1 月3,月2 月4,月2 月4
新和３～５丁目,三郷センター,火 金,月1 月3,月2 月4,月2 月4
前間,三郷センター,火 金,木1 木3,木2 木4,土1 土3
高州１・２・４丁目,三郷センター,月 木,水1 水3,水2 水4,火1 火3
高州３丁目,三郷センター,月 木,金1 金3,金2 金4,火1 火3
鷹野１～５丁目,三郷センター,火 金,土1 土3,土2 土4,土2 土4
田中新田,三郷センター,火 金,木1 木3,木2 木4,土1 土3
丹後,三郷センター,火 金,木1 木3,木2 木4,土1 土3
天神１・２丁目,三郷センター,水 土,火1 火3,火2 火4,火2 火4
戸ヶ崎１・２丁目,三郷センター,月 木,火1 火3,火2 火4,水2 水4
戸ヶ崎３～５丁目,三郷センター,火 金,木1 木3,木2 木4,月1 月3
戸ヶ崎（戸ヶ崎８丁目上・下町会）,三郷センター,月 木,土1 土3,土2 土4,水2 水4
戸ヶ崎（戸ヶ崎美郷町会・戸ヶ崎４丁目町会・戸ヶ崎５丁目町会）,三郷センター,火 金,木1 木3,木2 木4,月1 月3
戸ヶ崎（戸ヶ崎角町会・戸ヶ崎６丁目町会・戸ヶ崎７丁目東町会・戸ヶ崎７丁目西町会）,三郷センター,火 金,木1 木3,木2 木4,水2 水4
仁蔵（武蔵野線の北側）,三郷センター,水 土,金1 金3,金2 金4,木1 木3
仁蔵（武蔵野線の南側かつ常磐道の東側）,三郷センター,水 土,火1 火3,火2 火4,金1 金3
仁蔵（武蔵野線の南側かつ常磐道の西側）,三郷センター,月 木,水1 水3,水2 水4,金1 金3
花和田,三郷センター,月 木,土1 土3,土2 土4,水1 水3
番匠免１～３丁目,三郷センター,火 金,土1 土3,土2 土4,水1 水3
半田,三郷センター,水 土,金1 金3,金2 金4,木1 木3
彦糸１・２丁目,三郷センター,月 木,火1 火3,火2 火4,金1 金3
彦江１～３丁目,三郷センター,火 金,土1 土3,土2 土4,水1 水3
彦音１・２丁目,三郷センター,月 木,火1 火3,火2 火4,金1 金3
彦野２丁目・彦倉２丁目（インターＡ地区内）,三郷センター,水 土,火1 火3,火2 火4,火2 火4
彦川戸１・２丁目,三郷センター,水 土,火1 火3,火2 火4,火2 火4
彦倉１丁目・彦倉２丁目,三郷センター,水 土,金1 金3,金2 金4,火2 火4
彦倉（丁目なし）,三郷センター,水 土,火1 火3,火2 火4,火2 火4
彦沢１～３丁目,三郷センター,火 金,土1 土3,土2 土4,水1 水3
彦成１～３丁目（みさと団地を除く）,三郷センター,月 木,火1 火3,火2 火4,金1 金3
彦成３丁目・彦成４丁目（みさと団地）１・２街区,三郷センター,水 土,月1 月3,月2 月4,金2 金4
彦成３丁目・彦成４丁目（みさと団地）３・４街区,三郷センター,火 金,月1 月3,月2 月4,金2 金4
彦成３丁目・彦成４丁目（みさと団地）５～７街区,三郷センター,月 木,土1 土3,土2 土4,金2 金4
彦成３丁目・彦成４丁目（みさと団地）８・９街区,三郷センター,水 土,水1 水3,水2 水4,金2 金4
彦成３丁目・彦成４丁目（みさと団地）１０街区,三郷センター,火 金,木1 木3,木2 木4,金2 金4
彦成３丁目・彦成４丁目（みさと団地）１１街区,三郷センター,水 土,木1 木3,木2 木4,金2 金4
彦成３丁目・彦成４丁目（みさと団地）１２～１４街区,三郷センター,月 木,火1 火3,火2 火4,金2 金4
彦成５丁目,三郷センター,水 土,金1 金3,金2 金4,木1 木3
彦野１丁目・彦野２丁目,三郷センター,水 土,金1 金3,金2 金4,火2 火4
三郷１～３丁目,三郷センター,水 土,火1 火3,火2 火4,木2 木4
南蓮沼,三郷センター,水 土,火1 火3,火2 火4,火2 火4
茂田井,三郷センター,水 土,火1 火3,火2 火4,木2 木4
谷口（谷口団地を除く）,三郷センター,月 木,金1 金3,金2 金4,水1 水3
谷口（谷口団地）,三郷センター,水 土,木1 木3,木2 木4,月2 月4
谷中,三郷センター,水 土,木1 木3,木2 木4,月2 月4
寄巻,三郷センター,火 金,木1 木3,木2 木4,月1 月3
早稲田１・３・６～８丁目,三郷センター,火 金,木1 木3,木2 木4,土1 土3
早稲田２・４・５丁目,三郷センター,水 土,金1 金3,金2 金4,木1 木3
早稲田団地地区(早稲田３－１自治会、三郷早稲田３－２自治会、早稲田３４町会、早稲田５９町会、三郷早稲田パークハイツ、アミティ三郷を含みます。),三郷センター,火 金,月1 月3,月2 月4,木1 木3
